Blur;Song 2
Bowling For Soup;1985
Christina Stürmer;Ich Lebe 2005
Coldplay;Speed Of Sound
Deep Purple;Smoke On The Water
Echt;Du Trägst Keine Liebe In Dir
Extreme;More Than Words
Franz Ferdinand;Do You Want To
Gwen Stefani;What You Waiting For
Jet;Are You Gonna Be My Girl
Juli;Die Perfekte Welle
Kasabian;Club Foot
Keane;Everybody’s Changing
KT Tunstall;Black Horse & the Cherry Tree
Matthias Reim;Verdammt, Ich Lieb Dich
Razorlight;Somewhere Else
Nirvana;Come As You Are
Queen;Don’t Stop Me Know
Revolverheld;Die Welt steht still
Rolling Stones;Paint It Black
Rosenstolz;Es Könnte Ein Anfang sein
Scorpions;Wind Of Change
Selig;Ist Es Wichtig
The Hole;Celebrity Skin
The Killers;Somebody Told Me
The Offspring;Self Esteem
The Undertones;Teenage Kicks
Thin Lizzy;The Boys Are Back In Town
Tocotronic;This Boy Is Tocotronic
Wir Sind Helden;Denkmal
