Annett Louisan;Das Spiel
Ashlee Simpson;Pieces Of Me
Avril Lavigne;Sk8er Boi
Beyoncé;Crazy In Love
Black Eyed Peas;Shut Up
Blink 182;What's My Age Again?
The Clash;Should I Stay Or Should I Go
The Dandy Warhols;Bohemian Like You
Die Fantastischen Vier;Geboren
Good Charlotte;I Just Wanna Live
Hoobastank;The Reason
Jamelia;Stop
Joss Stone;Super Duper Love (Are You Diggin' on Me) Pt. 1
Keane;Somewhere Only We Know
Kylie Minogue;In Your Eyes
Laith Al-Deen;Alles An Dir
Manfred Mann;Do Wah Diddy Diddy
Martin Kesici;Angel Of Berlin
McFly;Obviously
Natasha Bedingfield;These Words
OutKast;Roses
Pur;Abenteuerland
Reamonn;Supergirl
Robbie Williams;Let Me Entertain You
Robbie Williams and Kylie Minogue;Kids
Ronan Keating feat. Yusuf Islam;Father And Son
Rosenstolz;Willkommen
Sister Sledge;We Are Family
Steppenwolf;Born To Be Wild
Tom Jones;It's Not Unusual
